Wall time,Step,Value
1582130339.6160169,15,15.0
1582130340.2370036,27,12.0
1582130341.1004696,41,14.0
1582130341.718724,50,9.0
1582130342.461801,60,10.0
1582130342.708357,65,5.0
1582130343.0756488,71,6.0
1582130343.4463422,79,8.0
1582130344.8109553,100,21.0
1582130345.1826923,108,8.0
1582130345.8049114,119,11.0
1582130346.1806803,124,5.0
1582130346.8035283,132,8.0
1582130347.674668,146,14.0
1582130348.042511,152,6.0
1582130348.413174,157,5.0
1582130349.2814527,171,14.0
1582130349.6483357,177,6.0
1582130350.0170753,184,7.0
1582130351.1297874,203,19.0
1582130352.0054917,216,13.0
1582130352.379706,224,8.0
1582130353.247935,238,14.0
1582130353.619802,244,6.0
1582130354.242514,253,9.0
1582130354.8697307,260,7.0
1582130355.8700244,275,15.0
1582130356.1202226,280,5.0
1582130356.7430096,294,14.0
1582130357.3668396,303,9.0
1582130358.488409,324,21.0
1582130359.1120608,332,8.0
1582130359.478854,337,5.0
1582130360.3489764,351,14.0
1582130361.4752123,374,23.0
1582130362.0979457,380,6.0
1582130362.7207391,391,11.0
1582130363.3446264,403,12.0
1582130363.7163026,408,5.0
1582130364.5868893,421,13.0
1582130364.9621181,429,8.0
1582130365.5858192,435,6.0
1582130365.9598398,443,8.0
1582130366.3322713,448,5.0
1582130366.9513414,456,8.0
1582130367.5781164,467,11.0
1582130368.2053638,476,9.0
1582130368.5886557,483,7.0
1582130369.4628782,497,14.0
1582130369.831567,502,5.0
1582130370.1992106,509,7.0
1582130371.0776877,522,13.0
1582130371.4627001,527,5.0
1582130371.8399355,532,5.0
1582130372.2139862,538,6.0
1582130372.5817266,544,6.0
1582130373.4472978,558,14.0
1582130373.8146687,564,6.0
1582130374.6784437,576,12.0
1582130375.2968802,585,9.0
1582130375.664189,594,9.0
1582130376.2825289,601,7.0
1582130376.6579208,607,6.0
1582130377.2769926,616,9.0
1582130377.64886,623,7.0
1582130378.5109808,638,15.0
1582130379.128897,646,8.0
1582130379.500736,654,8.0
1582130379.870351,659,5.0
1582130380.4932506,668,9.0
1582130380.8620558,673,5.0
1582130381.4854834,684,11.0
1582130381.8599906,689,5.0
1582130382.480526,697,8.0
1582130383.8541474,724,27.0
1582130384.2271633,729,5.0
1582130384.6009197,734,5.0
1582130385.6009524,745,11.0
1582130385.8497708,750,5.0
1582130386.2267046,756,6.0
1582130386.8510463,769,13.0
1582130387.4750495,777,8.0
1582130388.6094189,797,20.0
1582130389.240619,806,9.0
1582130389.6108868,812,6.0
1582130389.978151,817,5.0
1582130390.346967,824,7.0
1582130390.969848,832,8.0
1582130391.359363,838,6.0
1582130391.9882162,845,7.0
1582130392.6134293,856,11.0
1582130392.9852028,861,5.0
1582130393.36274,866,5.0
1582130393.9853187,879,13.0
1582130394.6105096,888,9.0
1582130395.480481,902,14.0
1582130396.2298708,910,8.0
1582130396.4794238,915,5.0
1582130396.853127,923,8.0
1582130397.7253718,936,13.0
1582130398.098502,942,6.0
1582130398.472752,948,6.0
1582130398.845854,954,6.0
1582130399.4679844,960,6.0
1582130400.5971487,983,23.0
1582130400.9667993,988,5.0
1582130401.5920236,996,8.0
