Wall time,Step,Value
1582130404.8017502,6,6.0
1582130404.8018146,15,9.0
1582130406.043566,21,5.0
1582130406.0436087,27,6.0
1582130406.0436406,32,5.0
1582130407.279867,43,10.0
1582130407.279903,50,7.0
1582130408.5259142,77,26.0
1582130408.5259495,82,5.0
1582130409.7679608,91,8.0
1582130409.7680242,103,12.0
1582130411.0159824,112,8.0
1582130411.0160801,123,11.0
1582130412.1499062,143,19.0
1582130413.3960893,155,11.0
1582130413.396132,160,5.0
1582130414.5133815,180,19.0
1582130416.6410112,212,30.0
1582130418.7635071,267,53.0
1582130419.8819602,288,20.0
1582130421.995924,330,40.0
1582130423.1145205,351,20.0
1582130425.228478,382,29.0
1582130426.3461988,415,32.0
1582130428.5837715,443,26.0
1582130428.5838075,457,14.0
1582130430.6974976,487,28.0
1582130431.8286633,508,20.0
1582130433.948965,562,52.0
1582130435.0740833,585,22.0
1582130436.1982512,603,17.0
1582130437.3231394,627,23.0
1582130439.448278,663,34.0
1582130441.564874,700,35.0
1582130443.6898677,737,35.0
1582130444.8165796,763,25.0
1582130445.9290438,786,22.0
1582130447.0486755,807,20.0
1582130450.1658921,861,51.0
1582130451.2824495,896,34.0
1582130452.4001412,917,20.0
1582130453.5128086,933,15.0
1582130456.6309683,987,51.0
1582130457.747878,1018,30.0
