Wall time,Step,Value
1582130467.2648315,136,8.0
1582130467.264871,152,16.0
1582130467.264917,167,15.0
1582130467.2649574,177,10.0
1582130467.2650015,191,14.0
1582130467.265042,199,8.0
1582130467.2650843,210,11.0
1582130467.2651272,223,13.0
1582130467.2651641,228,5.0
1582130467.2652004,235,7.0
1582130467.265431,244,9.0
1582130467.2654645,249,5.0
1582130467.2654958,254,5.0
1582130475.2540576,262,8.0
1582130475.2540917,267,5.0
1582130475.254118,274,7.0
1582130475.2541435,294,20.0
1582130475.2541673,307,13.0
1582130475.2541895,316,9.0
1582130475.2542114,321,5.0
1582130475.2542367,330,9.0
1582130475.2542624,335,5.0
1582130475.254287,361,26.0
1582130475.254501,367,6.0
1582130475.2545245,376,9.0
1582130475.2545452,381,5.0
1582130482.983623,392,11.0
1582130482.9836564,403,11.0
1582130482.983681,411,8.0
1582130482.9837067,435,24.0
1582130482.9837291,446,11.0
1582130482.9837534,469,23.0
1582130482.9837747,479,10.0
1582130482.9837954,489,10.0
1582130482.9838152,494,5.0
1582130482.983837,506,12.0
1582130490.3538966,512,6.0
1582130490.3539426,540,28.0
1582130490.3539705,547,7.0
1582130490.353996,559,12.0
1582130490.3540194,566,7.0
1582130490.3540452,592,26.0
1582130490.3540688,603,11.0
1582130490.3540914,612,9.0
1582130490.3541155,632,20.0
1582130497.8350334,656,24.0
1582130497.8350687,664,8.0
1582130497.8350968,682,18.0
1582130497.835122,704,22.0
1582130497.8351457,720,16.0
1582130497.8351672,728,8.0
1582130497.835191,748,20.0
1582130497.8352175,755,7.0
1582130497.83524,767,12.0
1582130505.0847433,774,7.0
1582130505.0847802,795,21.0
1582130505.0848074,808,13.0
1582130505.084835,841,33.0
1582130505.0848596,860,19.0
1582130505.0848832,875,15.0
1582130512.3326175,896,21.0
1582130512.332659,902,6.0
1582130512.3326898,921,19.0
1582130512.3327153,933,12.0
1582130512.3327396,942,9.0
1582130512.332765,966,24.0
1582130512.33279,982,16.0
1582130512.332815,1002,20.0
