Wall time,Step,Value
1582130576.9208176,22,22.0
1582130576.9208765,35,13.0
1582130576.9209077,44,9.0
1582130576.9209337,52,8.0
1582130576.9209583,62,10.0
1582130576.9209805,67,5.0
1582130576.9210038,79,12.0
1582130576.9210272,93,14.0
1582130576.9210489,100,7.0
1582130576.9210706,108,8.0
1582130576.921092,117,9.0
1582130576.9212964,131,14.0
1582130576.921325,137,6.0
1582130576.9213486,143,6.0
1582130576.9213743,151,8.0
1582130576.9213996,173,22.0
1582130576.9214282,178,5.0
1582130576.9214509,184,6.0
1582130576.9214725,189,5.0
1582130576.921494,197,8.0
1582130576.9215152,202,5.0
1582130576.9216843,208,6.0
1582130576.9217072,219,11.0
1582130576.9217284,224,5.0
1582130576.9217486,229,5.0
1582130576.9217708,243,14.0
1582130576.9218054,249,6.0
1582130576.9218457,257,8.0
1582130576.9218712,263,6.0
1582130576.9218946,272,9.0
1582130576.9219186,277,5.0
1582130576.9220514,283,6.0
1582130576.9220734,288,5.0
1582130576.9220946,293,5.0
1582130576.9221158,298,5.0
1582130576.9221368,303,5.0
1582130576.9221604,323,20.0
1582130576.9221818,334,11.0
1582130576.9222023,339,5.0
1582130576.9222312,356,17.0
1582130576.922254,363,7.0
1582130576.9224138,374,11.0
1582130576.9224381,386,12.0
1582130576.9224591,392,6.0
1582130576.9224803,398,6.0
1582130576.9225016,406,8.0
1582130576.9225228,416,10.0
1582130576.9225466,437,21.0
1582130576.9225676,443,6.0
1582130576.922588,449,6.0
1582130576.9226108,465,16.0
1582130576.9227417,488,23.0
1582130576.922764,496,8.0
1582130576.9227853,504,8.0
1582130576.9228072,513,9.0
1582130576.9228277,518,5.0
1582130576.9228504,537,19.0
1582130576.9228718,546,9.0
1582130576.9228923,554,8.0
1582130576.922914,565,11.0
1582130576.9229355,576,11.0
1582130576.9230902,581,5.0
1582130576.9231167,588,7.0
1582130576.923142,596,8.0
1582130576.9231653,604,8.0
1582130576.923192,611,7.0
1582130576.9232156,617,6.0
1582130576.9232364,622,5.0
1582130576.923257,628,6.0
1582130576.9232826,633,5.0
1582130576.9233086,644,11.0
1582130576.923447,649,5.0
1582130576.923474,667,18.0
1582130576.9234982,672,5.0
1582130576.9235234,689,17.0
1582130576.9235506,697,8.0
1582130576.9235723,704,7.0
1582130576.9235985,709,5.0
1582130576.9236217,720,11.0
1582130576.9236455,727,7.0
1582130576.9236672,732,5.0
1582130576.9237945,743,11.0
1582130576.9238224,748,5.0
1582130576.9238443,756,8.0
1582130576.9238658,765,9.0
1582130576.9238868,770,5.0
1582130576.9239213,777,7.0
1582130576.9239597,785,8.0
1582130576.9239845,791,6.0
1582130576.9240468,799,8.0
1582130576.9240718,808,9.0
1582130576.9242282,818,10.0
1582130576.9242513,823,5.0
1582130576.9242752,840,17.0
1582130576.9242969,845,5.0
1582130576.9243202,861,16.0
1582130576.9243476,868,7.0
1582130576.9243705,873,5.0
1582130576.9243922,884,11.0
1582130576.9244142,898,14.0
1582130576.9244456,938,40.0
1582130576.9245734,949,11.0
1582130576.9245982,966,17.0
1582130576.9246213,985,19.0
1582130576.9246435,1000,15.0
1582130576.9246647,1007,7.0
1582130576.9246864,1018,11.0
